Name,Points Per Game,Field Goal Percentage,Average 3-Point Field Goals Made,Free Throw Percentage,Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Turnovers Per Game
E'Twaun Moore,8.6,42.4,1.2,67.4,2.4,1.4,0.5,0.2,0.7
Austin Rivers,8.5,42.1,1.4,66.7,2.4,1.6,0.7,0.2,0.6
Monte Morris,8.4,45.9,0.8,82.3,1.7,3.5,0.8,0.2,0.7
Justin Holiday,8.4,44.0,1.9,78.0,3.2,1.3,1.2,0.6,0.6
Alex Len,8.3,55.6,0.3,63.7,6.0,1.0,0.4,0.9,1.0
DeAndre Jordan,8.3,66.6,0.0,68.0,10.0,1.9,0.3,0.9,1.3
Danny Green,8.2,41.9,1.9,72.7,3.4,1.4,1.2,0.5,0.9
Jalen Brunson,8.2,46.6,0.8,81.3,2.4,3.3,0.4,0.1,1.2
Enes Kanter,8.2,56.6,0.0,70.8,7.7,1.0,0.4,0.7,1.0
Cameron Johnson,8.1,41.8,1.9,76.1,2.9,1.1,0.6,0.3,0.6
De'Anthony Melton,8.1,41.9,0.7,82.1,3.7,3.0,1.3,0.3,1.5
Tony Snell,8.0,44.5,1.7,100.0,1.9,2.2,0.5,0.3,0.5
Ivica Zubac,8.0,60.1,0.0,75.9,7.2,1.1,0.2,0.9,0.8
Trevor Ariza,8.0,43.8,1.5,83.8,4.6,1.7,1.3,0.3,1.1
Patrick Beverley,7.9,42.8,1.6,65.9,5.4,3.7,1.1,0.5,1.3
Terence Davis,7.7,46.3,1.4,86.5,3.4,1.7,0.5,0.2,1.0
Nerlens Noel,7.7,68.5,0.0,76.5,4.9,1.0,1.0,1.5,1.0
Kelly Olynyk,7.7,47.6,1.4,85.4,4.4,1.6,0.6,0.3,1.1
Gary Trent Jr.,7.7,42.6,1.5,83.3,1.7,0.9,0.7,0.2,0.4
Omari Spellman,7.6,43.1,0.9,79.3,4.5,1.0,0.7,0.5,1.1
Dwight Howard,7.5,73.2,0.0,49.4,7.4,0.7,0.4,1.2,1.2
